序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
420,SY13,MK组,2019-09-15 00:00:00,2019-09-17 00:00:00,分离器,4575.50-4648.50,37/100,38.29,18.2,白色,硫化氢,无,不透明,无,18,100,228,137,0,0,0,0,483,199,111,0,/,0,36,4,350,832,/,/,0,0,0.78,-0.54,,0.11,,氯化镁,1.0004,6.224,,,,,,,,,,,,,,,
421,SY13,MK组,2019-09-22 00:00:00,2019-09-26 00:00:00,分离器,4575.50-4648.50,37/100,38.24,18.33,无,硫化氢,淡咸味,透明,无,17,79,231,136,0,2,0,0,465,521,41,0,/,0,2,4,568,1033,/,/,0,0,0.23,-13.25,,1,,氯化镁,1.0004,6.003,,,,,,,,,,,,,,,
422,SY13,MK组,2019-09-29 00:00:00,2019-10-09 00:00:00,分离器,4575.50-4648.50,39/100,38.19,18.47,灰色,硫化氢,微咸,不透明,无,16,76,229,133,13,0,0,0,467,713,40,0,/,0,3,0,756,1223,/,/,0,0,0.16,-20.16,,1.51,,氯化钙,1.0004,6.548,,,,,,,,,,,,,,,
423,SY13,MK组,2019-10-06 00:00:00,2019-10-09 00:00:00,分离器,4575.50-4648.50,39/100,38.12,18.54,灰色,硫化氢,微咸,不透明,无,15,73,223,131,13,0,0,0,456,691,21,0,/,0,3,0,715,1171,/,/,0,0,0.16,-37.28,,1.49,,氯化钙,1.0003,6.376,,,,,,,,,,,,,,,
424,SY13,MK组,2019-10-13 00:00:00,2019-10-15 00:00:00,分离器,4575.00-4648.50,39/100,38.09,18.65,无色,硫化氢,淡咸味,透明,无,9,96,187,122,4,0,0,0,418,589,27,0,/,0,3,1,620,1039,/,/,2,0,0.25,-22,,1.23,,氯化钙,1.0005,6.432,,,,,,,,,,,,,,,
425,SY13,MK组,2019-10-20 00:00:00,2019-10-23 00:00:00,分离器,4575.50-4648.50,39/100,38.04,18.76,灰色,硫化氢,微咸,半透明,无,17,90,252,132,0,0,0,0,491,660,44,0,/,0,3,7,714,1205,/,0,0,0,0.21,-16.11,,1.34,,氯化钙,1.0005,6.869,,,,,,,,,,,,,,,
426,SY13,MK组,2019-10-27 00:00:00,2019-10-30 00:00:00,分离器,4575.50-4648.50,39/100,38.02,18.8,白色,硫化氢,咸味,不透明,少量黑色沉淀,12,76,153,108,1,0,0,0,351,488,11,0,/,0,3,1,503,854,/,0,0,0,0.24,-46.06,,1.16,,氯化钙,0.9991,6.075,,,,,,,,,,,,,,,
427,SY13,MK组,2019-11-03 00:00:00,2019-11-06 00:00:00,分离器,4575.50-4648.50,39/100,37.98,18.92,无,硫化氢,微咸,透明,无,11,78,146,105,1,0,0,0,341,457,15,0,/,0,2,1,475,816,/,0,0,0,0.26,-31.11,,1.09,,氯化钙,0.999,6.332,,,,,,,,,,,,,,,
428,SY13,MK组,2019-11-10 00:00:00,2019-11-13 00:00:00,分离器,4575.50-4648.50,39/100,37.94,19.01,无,硫化氢,淡咸味,透明,无,13,77,172,113,2,0,0,0,377,498,26,0,/,0,2,1,527,904,/,0,0,0,0.24,-19.78,,1.13,,氯化钙,0.9991,6.165,,,,,,,,,,,,,,,
429,SY13,MK组,2019-11-17 00:00:00,2019年11月19日,分离器,4575.50-4648.50,39/100,37.89,19.08,灰色,硫化氢,微咸,不透明,无,12.0664,79.2099,151.8122,115.0814,1.6499,0,0,0,360.1661,534.1119,10.3687,0,/,0,2.726,0.7543,547.9609,908.127,/,0,0,0,0.228901019984112,-53.7070079210731,,1.20973470306937,,氯化钙,0.9991,6.309,,,,,,,,,,,,,,,
430,SY13,MK组,2019-11-24 00:00:00,2019年11月26日,分离器,4575.50-4648.50,39/100,37.84,19.18,浅黄色,硫化氢,微咸味,不透明,无,13.6927,95.5972,165.5618,121.3646,1.2454,0,0,5.3802,402.8419,460.2141,9.0777,0,/,0,0,0,469.2918,872.1337,/,0,0,0,0.320616426137313,-46.5706201251263,,0.870834902248801,,氯化镁,0.999,6.233,,,,,,,,,,,,,,,
431,SY13,MK组,2019-12-01 00:00:00,2019年12月4日,分离器,4575.50-4648.50,39/100,37.67,19.2,无,硫化氢,咸味,不透明,无,12.7854,85.4964,168.4829,119.3429,1.1276,0,0,0,387.2352,537.5781,23.8616,0,/,0,2.9798,0.8586,565.2781,952.5133,/,0,0,0,0.245474722245212,-22.9841625798381,,1.14887206070714,,氯化钙,0.9991,6.254,,,,,,,,,,,,,,,
432,SY13,MK组,2019-12-08 00:00:00,2019年12月12日,分离器,4575.50-4648.50,39/100,39.78,19.26,白色,硫化氢,微咸味,不透明,无,15.1138,131.7098,186.396,126.2037,3.3837,0,0,7.2267,470.4219,664.442,11.9083,0,/,0,2.3001,0.701,679.3514,1149.7733,/,0,0,0,0.305957800746308,-52.3607756453288,,1.23516153769119,,氯化钙,0.9994,6.303,,,,,,,,,,,,,,,
433,SY13,MK组,2019-12-15 00:00:00,2019-12-18 00:00:00,分离器,4575.50-4648.50,39/100,37.62,19.29,无,硫化氢,微咸,透明,无,14,88,168,126,1,0,0,0,396,556,10,0,/,0,3,1,571,967,/,0,0,0,0.24,-54.81,,1.13,,氯化钙,0.9992,6.148,,,,,,,,,,,,,,,
434,SY13,MK组,2019-12-22 00:00:00,2019年12月25日,分离器,4575.50-4648.50,39/100,36.92,19.34,无,硫化氢,微咸,透明,无,12.8719,95.0655,165.8673,122.022,2.446,0,0,8.3931,406.7839,446.9421,8.9224,0,/,0,2.0523,0.7423,458.6591,865.443,/,0,0,0,0.328300987104808,-45.494319202888,,0.831650263181738,,氯化镁,0.9992,6.299,,,,,,,,,,,,,,,
435,SY13,MK组,2019-12-29 00:00:00,2019年12月31日,分离器,4575.50-4648.50,39/100,36.67,19.35,无,硫化氢,微咸,半透明,无,12.4883,84.1889,163.9567,115.9367,0.7611,0,0,3.3512,380.8901,573.4548,10.5455,0,/,0,2.7237,1.3141,588.0381,968.9282,/,0,0,0,0.226598045663794,-56.865670694828,,1.29311281568371,,氯化钙,0.9992,6.839,,,,,,,,,,,,,,,
436,SY13,MK组,2020-01-05 00:00:00,2020年1月9日,分离器,4575.50-4648.50,39/100,25.4,41.87,乳白,硫化氢,微咸味,不透明,无,14.8618,162.5623,139.5573,155.5904,4.0838,0,0,13.973,567.1316,686.3874,14.0376,0,/,0,0.7327,0.5587,407.6643,721.0863,/,0,0,0,0.228276924928514,-20.9546986185155,,0.995062675368902,,氯化镁,0.9995,5.905,,,,,,,,,,,,,,,
437,SY13,MK组,2020-01-12 00:00:00,2020-01-16 00:00:00,分离器,4575.50-4648.50,39/100,37.31,19.43,白色,硫化氢,微咸,不透明,无,20,76,202,133,0,0,0,0,432,681,31,0,/,0,3,3,718,1149,/,0,0,0,0.17,-24.66,,1.43,,氯化钙,0.9994,6.365,,,,,,,,,,,,,,,
438,SY13,MK组,2020-01-19 00:00:00,2020-01-21 00:00:00,分离器,4575.50-4648.50,39/100,37.37,19.46,无,硫化氢,微咸,透明,无,19,154,185,140,0,0,0,0,499,618,17,0,/,0,2,0,637,1137,/,0,0,0,0.38,-30.45,,0.92,,氯化镁,0.9993,6.146,,,,,,,,,,,,,,,
439,SY13,MK组,2020-02-02 00:00:00,2020-02-04 00:00:00,分离器,4575.50-4648.50,39/100,37.18,19.52,白色,硫化氢,咸味,不透明,无,20,88,182,121,0,0,0,0,410,629,12,0,/,0,0,0,642,1052,/,0,0,0,0.22,-54.42,,1.38,,氯化钙,0.9992,6.313,,,,,,,,,,,,,,,
440,SY13,MK组,2020-02-09 00:00:00,2020-02-11 00:00:00,分离器,4575.50-4648.50,39/100,37.1,19.58,无,硫化氢,微咸,不透明,无,20,95,200,134,0,0,0,0,449,600,13,0,/,0,3,1,617,1066,/,0,0,0,0.24,-46.66,,1.15,,氯化钙,0.9984,6.695,,,,,,,,,,,,,,,
441,SY13,MK组,2020-02-23 00:00:00,2020-02-26 00:00:00,分离器,4575.50-4648.50,39/100,37.02,19.7,无,硫化氢,微咸味,透明,无,13,78,139,112,0,1,0,0,342,563,15,0,/,0,3,1,582,924,/,0,0,0,0.21,-41.05,,1.34,,氯化钙,0.9993,6.148,,,,,,,,,,,,,,,
442,SY13,MK组,2020-02-15 00:00:00,2020-02-18 00:00:00,分离器,4575.50-4648.50,39/100,37.06,19.64,无,硫化氢,咸味,透明,无,280,1831,4034,2885,63,2,0,0,9094,12555,204,0,/,0,205,12,12976,22071,/,10,30,107,0.23,-64.51,,1.14,,氯化钙,1.015,6.026,,,,,,,,,,,,,,,
443,SY13,MK组,2020-02-28 00:00:00,2020-03-03 00:00:00,分离器,4575.50-4648.50,39/100,36.98,19.74,无,硫化氢,微咸,不透明,无,18,143,204,107,7,0,0,0,479,543,20,0,/,0,3,1,567,1046,/,0,0,0,0.41,-21.58,,1.02,,氯化钙,0.9992,6.367,,,,,,,,,,,,,,,
444,SY13,MK组,2020-03-08 00:00:00,2020年3月10日,分离器,4575.50-4648.50,39/100,36.5,19.94,白色,硫化氢,微咸,不透明,无,22,129,266,192,9,0,0,0,618,789.4243,9.669,0,/,0,3.4107,0.0476,802.5516,1420.5516,/,0,0,0,0.252220125035642,-82.5497167765595,,1.03928803582364,,氯化钙,0.9997,6.142,,,,,,,,,,,,,,,
445,SY13,MK组,2020-03-15 00:00:00,2020-03-20 00:00:00,分离器,4575.50-4648.50,45/100,35.93,20.2,灰白,硫化氢,咸味,半透明,无,28.6475,147.5024,281.2057,221.9877,8.4074,0.0002,0,0,687.7509,842.503,11.6534,0,/,0,1.8506,0.6765,856.6835,1544.4344,/,0,0,0,0.270226631627528,-71.3377975752415,,0.936231928912412,,氯化镁,0.9998,7.263,,,,,,,,,,,,,,,
446,SY13,MK组,2020-03-16 00:00:00,2020-03-20 00:00:00,分离器,4575.50-4648.50,45/100,35.9,20.18,灰白,硫化氢,咸味,半透明,无,47.1855,319.7912,768.4619,508.4041,24.2862,0,0,0,1668.1289,2323.7934,37.6674,0,/,0,2.1251,13.4728,2377.0587,4045.1876,/,0,0,0,0.212407335874778,-65.6971328586861,,1.21686675138992,,氯化钙,1.0015,6.431,,,,,,,,,,,,,,,
447,SY13,MK组,2020-03-22 00:00:00,2020年3月24日,分离器,4575.50-4648.50,38/100,36.31,20.17,灰色,无,无,半透明,无,6.16,60.5896,74.5859,47.8689,1.2019,0,0,3.6484,194.1728,261.7187,5.7619,0,/,0,2.1423,1.4397,271.0626,465.2354,/,0,0,0,0.357325366642821,-39.4705411342475,,1.18775087249457,,氯化钙,0.9988,6.523,,,,,,,,,,,,,,,
448,SY13,MK组,2020-03-29 00:00:00,2020年4月1日,分离器,4575.50-4648.50,38/100,36.23,20.15,无,无气味,0,半透明,无,6.0954,47.9478,64.6001,45.4293,1.657,0.7424,0,0,166.472,254.9264,5.0614,0,/,0,2.3284,0,262.3162,428.7882,/,0,0,0,0.2903049152874,-48.3313397455971,,1.34618100536639,,氯化钙,0.9989,6.388,,,,,,,,,,,,,,,
449,SY13,MK组,2020-04-05 00:00:00,2020年4月8日,分离器,4575.50-4648.50,38/100,36.18,20.18,浅灰色,硫化氢味,0,不透明,无,14.711,158.5081,159.8408,102.9856,0,0.8686,0,0,436.9141,604.7708,9.7382,0,/,0,2.8151,0.5096,617.8337,1054.7478,/,0,0,0,0.404539714089601,-50.0008987025584,,1.18200688189721,,氯化钙,0.9993,6.314,,,,,,,,,,,,,,,
450,SY13,MK组,2020-04-12 00:00:00,2020年4月21日,分离器,4575.50-4648.50,38/100,36.16,20.2,灰色,硫化氢味,0,半透明,无,10.9106,100.7613,153.0079,109.1737,1.0663,0,0,0,374.9198,564.2223,9.785,0,/,0,2.4314,0.662,577.1007,952.0205,/,0,0,0,0.275641136635253,-56.4749792304291,,1.26543222353403,,氯化钙,0.9993,6.34,,,,,,,,,,,,,,,
451,SY13,MK组,2020-04-19 00:00:00,2020年4月21日,分离器,4575.50-4648.50,38/100,36.09,20.22,灰色,硫化氢味,0,不透明,无,11.2758,110.5819,165.9484,120.3801,0,0,0,0,409.3416,622.3241,8.4908,0,/,0,2.7277,0.682,634.2246,1043.5662,/,0,0,0,0.27426345644601,-71.92169016277,,1.26821768472125,,氯化钙,0.9994,6.219,,,,,,,,,,,,,,,
452,SY13,MK组,2020-04-24 00:00:00,2020-04-24 00:00:00,技套,4575.50-4648.50,38/100,36.05,20.21,无色,硫化氢味,0,透明,灰色沉淀,1171,535,93,5,0,0,0,0,1804,73,1859,3327,0,454,7,5,5725,7529,/,/,/,/,11.3117927337701,0.547508076265907,,-50.8908756889161,,硫酸钠,1.0229,13.079,,,,,,,,,,,,,,,
453,SY13,MK组,2020-04-26 00:00:00,2020年4月28日,分离器,4575.50-4648.50,38/100,36.03,20.24,灰色,硫化氢味,0,不透明,无,12.6203,118.0389,158.3889,111.8569,2.0738,0,0,0,402.9788,583.5293,6.469,0,/,0,2.3283,0.7459,593.0725,996.0513,/,0,0,0,0.312221641804373,-83.8855018096103,,1.21283378854226,,氯化钙,0.9992,6.206,,,,,,,,,,,,,,,
454,SY13,MK组,2020-05-03 00:00:00,2020年5月7日,分离器,4575.50-4648.50,38/100,35.97,20.26,无色,硫化氢味,0,透明,无,14.9721,106.3904,173.9719,114.6463,1.7746,0,0,0,412,582.295,10.2396,0,/,0,1.9526,1.8448,596.332,1008.332,/,0,0,0,0.282007006011072,-55.206874445661,,1.23269637043191,,氯化钙,0.9994,6.335,,,,,,,,,,,,,,,
455,SY13,MK组,2020-05-10 00:00:00,2020年5月12日,分离器,4575.50-4648.50,38/100,35.9,20.27,浅灰,硫化氢味,0,不透明,无,15.1697,123.4569,166.8203,116.2014,2.0118,0,0,0,423.6623,604.0757,13.0561,0,/,0,1.8651,1.4352,620.4321,1044.0944,/,0,0,0,0.315445632566163,-42.8251337427647,,1.2029313516423,,氯化钙,0.9995,6.584,,,,,,,,,,,,,,,
456,SY13,MK组,2020-05-17 00:00:00,2020年5月21日,分离器,4575.50-4648.50,38/100,35.84,20.29,无色,硫化氢味,0,透明,无,14.2505,107.9144,159.1847,112.7758,1.5937,0.0037,0,0,395.7228,666.4847,5.9708,0,/,0,0,25.0973,697.5528,1093.2756,/,0,0,0,0.249913509544604,-113.209243384143,,1.49843705475386,,氯化钙,0.999,6.456,,,,,,,,,,,,,,,
457,SY13,MK组,2020-05-24 00:00:00,2020年5月27日,分离器,4575.50-4648.50,38/100,35.79,20.31,无色,硫化氢气味,0,不透明,无,13.8444,90.457,371.4063,260.5214,5.5613,0,0,8.0309,749.849,511.3199,15.2737,0,/,0,6.3952,0,532.9888,1282.8378,/,0,0,0,0.273054917368712,-32.9050781554504,,0.482285037066919,,氯化镁,0.9992,6.313,,,,,,,,,,,,,,,
458,SY13,MK组,2020-05-30 00:00:00,2020年6月4日,分离器,4575.50-4648.50,38/100,35.73,20.31,清灰色,硫化氢味,0,不透明,黑色沉淀,14.6882,91.4356,174.8918,118.5202,3.4123,0,0,8.0946,411.0427,501.0699,28.7682,0,/,0,18.6298,0,548.4679,959.5106,/,0,0,0,0.281655036292472,-16.917319875458,,1.02657783576376,,氯化钙,0.9993,6.445,,,,,,,,,,,,,,,
459,SY13,MK组,2020-06-07 00:00:00,2020年6月9日,分离器,4575.50-4648.50,38/100,35.67,20.32,无色,硫化氢味,0,透明,无,10.0902,96.7587,161.0257,111.6078,2.2211,0,0,0,382,514.867,6.4977,0,/,0,4.5371,0,525.9018,907.9018,/,0,0,0,0.290065104191956,-76.0618368319711,,1.10706195530935,,氯化钙,0.9993,6.537,,,,,,,,,,,,,,,
460,SY13,MK组,2020-06-14 00:00:00,2020年6月17日,分离器,4575.50-4648.50,38/100,35.64,20.34,无色,硫化氢味,0,透明,无,15.0857,99.1947,162.8709,113.7165,2.0145,0,0,0,392.9828,534.4922,7.5921,0,/,0,3.6027,0,545.687,938.6698,/,0,0,0,0.286449199901286,-67.9230585458941,,1.13369355543453,,氯化钙,0.9994,6.677,,,,,,,,,,,,,,,
461,SY13,MK组,2020-07-19 00:00:00,2020年7月22日,分离器,4575.50-4648.50,38/100,35.33,31.44,灰白色,无气味,0,半透明,无,3.0691,22.3136,12.2503,7.5891,1.1584,0,0,0,46.3805,67.4779,3.2106,0,/,0,5.0626,1,76.7511,123.1316,/,0,0,0,0.510397574935485,-13.9133529247442,,1.47152530933127,,氯化钙,0.9986,6.504,,,,,,,,,,,,,,,
462,SY13,MK组,2020-07-26 00:00:00,2020年7月29日,分离器,4575.50-4648.50,38/100,35.36,32.2,无色,无气味,0,透明,无,2.9269,19.1711,24.7299,16.1514,0.9544,0,0,0.7154,64.6491,93.2159,6.3582,0,/,0,4.477,0.7134,104.7645,169.4136,/,0,0,0,0.317437004705812,-13.5304249356873,,1.3316051213221,,氯化钙,0.9987,6.481,,,,,,,,,,,,,,,
463,SY13,MK组,2020-08-02 00:00:00,2020年8月5日,分离器,4575.5-4648.50,38/100,35.31,32.2,无色,无气味,0,透明,无,4.674,28.9479,39.7126,27.0439,1.4615,0,0,1.0751,102.915,125,8.5567,0,/,0,2.3674,0.6203,136.5444,239.4594,/,0,0,0,0.357443634782609,-12.6919344854196,,1.00393319576124,,氯化钙,0.9988,6.8,,,,,,,,,,,,,,,
464,SY13,MK组,2020-08-09 00:00:00,2020年8月11日,分离器,4575.50-4648.50,38/100,35.31,32.19,灰白色,硫化氢味,0,不透明,无,12.6715,69.7072,90.9448,61.0899,1.9795,0,0,1.97,239.3629,344.7597,11.5916,0,/,0,3.3284,0,359.6797,599.0426,/,0,0,0,0.312076927280326,-27.6646938223547,,1.31232030544823,,氯化钙,0.9991,6.522,,,,,,,,,,,,,,,
465,SY13,MK组,2020-08-23 00:00:00,2020-08-27 00:00:00,分离器,4575.50-4648.50,36/100,35.5,35.97,灰色,无气味,0,不透明,无,1.5149,4.8347,7.9195,4.0691,0.1855,0,0,0,18.5237,20.8608,4.3567,0,/,0,8.2423,0,33.4598,51.9835,/,0,0,0,0.357716595136624,-4.15827195285971,,1.11304363477328,,氯化钙,0.9983,6.62,,,,,,,,,,,,,,,
466,SY13,MK组,2020-08-30 00:00:00,2020年9月1日,分离器,4575.50-4648.50,36/100,35.42,35.79,浅黄色,无气味,0,不透明,无,7.7308,52.202,63.634,43.2586,1.618,0,0,2.0467,171.4901,227.2955,2.9988,0,/,0,10.8096,0.7746,241.8785,413.3686,/,0,0,0,0.354484150253362,-66.1550694987119,,1.14651088114697,,氯化钙,0.999,6.616,,,,,,,,,,,,,,,
467,SY13,MK组,2020-09-06 00:00:00,2020年9月10日,分离器,4575.50-4648.50,31/100,35.33,33.05,白色,硫化氢味,0,不透明,无,17.626,126.7063,141.7061,94.8761,4.9126,0.8869,0,4.1152,390.8292,560.8267,8.8684,0,/,0,11.7694,0.7327,582.1972,973.0264,/,0,0,0,0.348714530826042,-55.6887771199326,,1.30135606072133,,氯化钙,0.9995,6.735,,,,,,,,,,,,,,,
468,SY13,MK组,2020-09-13 00:00:00,2020年9月15日,分离器,4575.50-4648.50,37/100,34.89,18.7,无色,硫化氢味,0,透明,无,24.53,226.0457,188.3729,126.8634,7.4977,0.2822,0,5.7161,579.308,783.7686,9.9552,0,/,0,3.6794,0.9501,798.3533,1377.6613,/,0,0,0,0.445152592120995,-59.064198743254,,1.15871857314411,,氯化钙,0.9997,6.541,,,,,,,,,,,,,,,
469,SY13,MK组,2020-09-20 00:00:00,2020-09-25 00:00:00,分离器,4575.50-4648.50,37/100,34.9,14.34,无色,硫化氢味,0,透明,无,16.6329,140.9212,170.2371,120.077,4.3319,0.0756,0,3.3842,455.6599,608.3738,8.7991,0,/,0,4.3788,0.9938,622.5455,1078.2054,/,0,0,0,0.35752494386782,-60.0622233375299,,1.10032210450223,,氯化钙,0.9995,6.525,,,,,,,,,,,,,,,
470,SY13,MK组,2020-09-27 00:00:00,2020年10月10日,分离器,4575.50-4648.50,37/100,34.87,11.54,无色,硫化氢味,0,透明,无,19.7441,179.7244,166.8273,114.4099,3.4224,0,0,4.5942,488.7223,675.72,18.1198,0,/,0,0,2.3616,696.2014,1184.9237,/,0,0,0,0.410526111921841,-29.7228760123807,,1.1768487009628,,氯化钙,0.9995,7.642,,,,,,,,,,,,,,,
471,SY13,MK组,2020-10-11 00:00:00,2020年10月13日,分离器,4575.50-4648.50,37/100,34.78,9.49,无色,硫化氢味,0,透明,无,14.8758,121.9688,148.6398,105.0434,1.5634,0,0,3,395.0912,561.089,19.9448,0,/,0,3.2154,0,584.2492,979.3404,/,0,0,0,0.335519304966499,-25.2753583233263,,1.19977068213491,,氯化钙,0.9995,6.557,,,,,,,,,,,,,,,
472,SY13,MK组,2020-10-18 00:00:00,2020年10月21日,分离器,4575.50-4648.50,37/100,34.72,9.14,无色,硫化氢味,0,透明,无,14.1869,121.7399,143.461,101.1802,1.9897,0,0,3.2015,385.818,553.5577,8.5617,0,/,0,3.1538,0,565.2732,951.0912,/,0,0,0,0.339445895397056,-57.7463009493117,,1.2215989512714,,氯化钙,0.9994,6.594,,,,,,,,,,,,,,,
473,SY13,MK组,2020-10-25 00:00:00,2020年10月29日,分离器,4575.50-4648.50,37/100,34.68,8.96,灰白色,硫化氢味,0,半透明,无,19.9746,91.7137,108.767,75.4427,0.9526,0,0,3.3811,300.3094,366.3236,10.1105,0,/,0,2.7319,1.4522,380.6182,680.9276,/,0,0,0,0.386429108509288,-30.0586794669666,,1.00708311987364,,氯化钙,0.9995,6.078,,,,,,,,,,,,,,,
474,SY13,MK组,2020-10-30 00:00:00,2020-11-05 00:00:00,分离器,4575.50-4648.50,100/37,34.64,8.89,灰色,硫化氢味,0,不透明,无,14.7034,132.7155,137.6203,97.1811,2.4831,0,0,3.8296,388.7281,555.8924,7.6313,0,/,0,2.6771,0,566.2008,954.9289,/,0,0,0,0.368494854634521,-62.1987973611981,,1.22106480144419,,氯化钙,0.9995,6.523,,,,,,,,,,,,,,,
475,SY13,MK组,2020-11-08 00:00:00,2020年11月12日,分离器,4575.50-4648.50,37/100,34.58,8.8,无色,硫化氢味,0,不透明,无,13.9471,137.6673,140.5985,94.8047,2.4443,0,0,4.1313,393.7851,569.9766,5.7348,0,/,0,2.6339,1.3362,579.6815,973.4666,/,0,0,0,0.372798611000186,-84.2866213905063,,1.27463858951686,,氯化钙,0.9996,6.381,,,,,,,,,,,,,,,
476,SY13,MK组,2020-11-15 00:00:00,2020年11月19日,分离器,4575.50-4648.50,37/100,34.54,8.76,灰白色,硫化氢味,0,不透明,无,16.8793,147.3188,138.6768,94.9316,2.363,0,0,3.5208,403.9619,593.9029,14.9774,0,/,0,8.7398,0.9469,618.567,1022.5289,/,0,0,0,0.382862863975561,-33.0882335386541,,1.30508626474703,,氯化钙,0.9998,6.434,,,,,,,,,,,,,,,
477,SY13,MK组,2020-11-22 00:00:00,2020年11月24日,分离器,4575.50-4648.50,37/100,34.49,8.72,无色,硫化氢味,0,半透明,无,14.7403,117.6755,140.5738,97.5825,1.5592,0,0,3.0089,375.3397,566.8312,6.2788,0,/,0,3.8728,1.1233,578.1061,953.4458,/,0,0,0,0.320429743611425,-82.9515191645398,,1.33434785573825,,氯化钙,0.9996,6.35,,,,,,,,,,,,,,,
478,SY13,MK组,2020-12-01 00:00:00,2020-12-03 00:00:00,技套环空,4575.50-4648.50,37/100,34.4,8.64,淡黄色,硫化氢味,0,透明,棕色沉淀,7159.59,2938.039,133.7207,29.7582,0,4.0376,0,45.5425,10310.688,556,8152.7484,2425.92,0,380.494,17.3938,17.2218,11549.778,21860.466,/,13,34,75,8.15611389583988,0.659873792289066,,-45.1958200116826,,硫酸钠,1.0163,13.232,,,,,,,,,,,,,,,
479,SY13,MK组,2020-11-29 00:00:00,2020年12月3日,分离器,4575.50-4648.50,13/100,34.46,8.68,无色,硫化氢味,0,透明,无,14.2349,125.9253,136.4316,95.2227,2.0986,0,0,4.8192,378.8351,531.755,9.0072,0,/,0,2.5143,1.5673,544.8438,923.6789,/,0,0,0,0.365512243502136,-50.6474875621038,,1.19769773900914,,氯化钙,0.9997,6.816,,,,,,,,,,,,,,,
480,SY13,MK组,2020-12-06 00:00:00,2020年12月10日,分离器,4575.50-4648.50,37/100,34.4,8.64,无色,硫化氢味,0,半透明,无,15.8235,138.1005,145.4456,94.9303,3.174,0,0,12.1961,409.67,559.247,12.0567,0,/,0,2.931,1.6157,575.8504,985.5204,/,0,0,0,0.38114664819877,-38.812877372419,,1.23236526856031,,氯化钙,0.9987,6.706,,,,,,,,,,,,,,,
481,SY13,MK组,2020-12-13 00:00:00,2020年12月17日,分离器,4575.50-4648.50,37/100,34.36,8.61,白色,硫化氢味,0,半透明,无,13.8304,125.2814,138.8852,98.2906,1.9848,0,0,4.8365,383.2267,553.3704,7.4618,0,/,0,2.9193,0.7176,564.4691,947.6958,/,0,0,0,0.349438852152743,-65.2338976670183,,1.23806930065479,,氯化钙,0.9997,6.307,,,,,,,,,,,,,,,
482,SY13,MK组,2020-12-20 00:00:00,2020年12月22日,分离器,4575.50-4648.50,37/100,33.28,8.57,灰色,硫化氢味,0,不透明,无,14.1576,129.6978,133.9123,93.1168,0,0,0,0,371,536.2134,6.0273,0,/,0,2.2986,0.0825,544.6218,915.6218,/,0,0,0,0.373332212105495,-75.3815581846018,,1.21983161375297,,氯化钙,0.9995,6.227,,,,,,,,,,,,,,,
483,SY13,MK组,2020-12-27 00:00:00,2020年12月30日,分离器,4575.50-4648.50,37/100,34.24,8.54,无色,硫化氢味,0,透明,无,14.0783,124.1203,140.7012,98.2486,0,0.3218,0,0,377,551.3671,8.1545,0,/,0,2.4508,0.706,562.6784,939.6784,/,0,0,0,0.347458135936309,-59.6574621994243,,1.23787202948746,,氯化钙,0.9998,6.325,,,,,,,,,,,,,,,
484,SY13,MK组,2021-01-03 00:00:00,2021年1月6日,分离器,4575.50-4648.50,37/100,34.25,8.51,无色,硫化氢味,0,透明,无,13.6526,122.6573,135.1418,94.6871,0,0,0,0,367,401.4163,6.2268,0,/,0,2.2269,0,409.87,776.87,/,0,0,0,0.471627275940106,-46.0556972171454,,0.757177100765893,,氯化镁,0.9996,6,,,,,,,,,,,,,,,
485,SY13,MK组,2021-01-10 00:00:00,2021-01-12 00:00:00,分离器,4575.50-4648.50,37/100,34.25,8.49,无色,硫化氢味,0,透明,无,16.6925,142.8477,154.8804,105.9279,13.9249,0.6978,0,21.2674,456.2386,569.4668,0,0,/,0,2.3054,0,571.7722,1028.0108,/,0,0,0,0.387173263770983,0,,1.1136498027026,,氯化钙,0.9999,6.615,,,,,,,,,,,,,,,
486,SY13,MK组,2021-01-17 00:00:00,2021年1月19日,分离器,4575.50-4648.50,37/100,34.09,8.47,无色,硫化氢味,0,透明,无,14.556,130.3097,135.2789,94.5494,0,0,0,0,375,520.4358,4.7576,0,/,0,5.8045,0.4678,531.4657,906.4657,/,0,0,0,0.3864649379048,-90.7468395814385,,1.14156505486193,,氯化钙,0.9999,6.363,,,,,,,,,,,,,,,
487,SY13,MK组,2021-01-24 00:00:00,2021年1月25日,分离器,4575.50-4648.50,37/100,34.05,8.45,无色,硫化氢味,0,透明,无,17.8313,128.2741,126.5617,87.5133,0,0,0,0,361,515.2659,5.6388,0,/,0,2.4747,0,523.3794,884.3794,/,0,0,0,0.38424488168654,-76.0791454501596,,1.22551396577537,,氯化钙,0.9999,6.498,,,,,,,,,,,,,,,
